HOUSEID,VARSTRAT,WTHHFIN,DRVRCNT,CDIVMSAR,CENSUS_D,CENSUS_R,HH_HISP,HH_RACE,HHFAMINC,HHRELATD,HHRESP,HHSIZE,HHSTATE,HHSTFIPS,HHVEHCNT,HOMEOWN,HOMETYPE,MSACAT,MSASIZE,NUMADLT,RAIL,RESP_CNT,SCRESP,TRAVDAY,URBAN,URBANSIZE,URBRUR,WRKCOUNT,TDAYDATE,FLAG100,LIF_CYC,CNTTDHH,HBHUR,HTRESDN,HTHTNRNT,HTPPOPDN,HTEEMPDN,HBRESDN,HBHTNRNT,HBPPOPDN,HH_CBSA,HHC_MSA
20026820,93,1179.9574981,1,53,05,03,02,01,02,-1,01,3,WV,54,1,01,04,03,02,2,02,2,-1,06,01,01,01,0,200903,01,04,6,TC,300,40,300,150,300,20,300,XXXXX,XXXX
20027180,75,131.29608195,1,82,08,04,02,01,06,-1,01,1,AZ,04,1,01,01,02,05,1,02,1,01,03,01,04,01,1,200810,01,01,5,S,3000,5,7000,1500,3000,5,7000,38060,6200
20027256,85,113.54447523,3,72,07,03,02,01,18,-1,01,3,TX,48,3,01,01,02,05,3,02,3,-1,02,04,06,02,0,200812,01,08,6,TC,50,20,300,25,50,20,300,19100,1922
20027621,49,76.468162993,2,23,02,01,02,01,08,-1,01,2,NY,36,2,01,01,03,02,2,02,2,-1,06,04,06,02,1,200808,01,10,6,TC,50,20,50,25,50,20,50,XXXXX,XXXX
20027694,38,22.765856732,1,54,05,03,02,01,18,-1,01,1,VA,51,1,01,01,04,06,1,02,1,01,01,04,06,02,0,200808,01,09,1,TC,50,5,50,25,50,5,50,XXXXX,-1
20027715,76,158.8345186,1,53,05,03,02,02,-7,-1,01,1,VA,51,3,01,01,03,03,1,02,1,01,07,04,06,02,0,200809,01,01,0,TC,50,5,300,25,50,5,300,40060,XXXX
20028169,22,83.36620138,2,52,05,03,02,01,18,-1,01,4,VA,51,2,01,01,02,04,2,02,4,-1,02,01,04,01,1,200903,01,06,26,TC,750,20,750,1500,300,0,750,47260,5720
20028525,94,21.497931624,3,21,02,01,02,01,08,-1,01,4,NY,36,3,01,01,01,05,3,01,4,-1,01,01,05,01,2,200812,01,06,16,TC,300,5,300,350,300,5,750,35620,5602
20029746,66,4797.5260791,3,53,05,03,02,01,-7,-1,01,3,MD,24,3,01,01,03,01,2,02,2,-1,07,02,06,01,1,200806,02,08,0,TC,300,60,1500,750,1500,80,3000,XXXXX,XXXX
20030603,81,455.53383476,2,51,05,03,02,03,12,-1,01,2,FL,12,2,01,01,01,05,2,01,2,-1,02,01,05,01,2,200808,01,02,4,U,1500,5,7000,1500,1500,0,7000,33100,4992
20030797,47,11172.423076,2,73,07,03,02,01,17,-1,01,4,LA,22,2,01,01,03,03,2,02,2,-1,06,01,02,01,2,200805,01,04,11,S,750,5,1500,750,300,0,1500,XXXXX,XXXX
20031440,96,96.151615673,3,52,05,03,02,01,06,-1,01,3,NC,37,4,01,01,02,04,3,02,3,-1,04,01,01,01,3,200806,01,02,17,TC,300,20,1500,750,750,20,1500,XXXXX,3120
20031655,93,1177.4793902,1,53,05,03,02,01,06,-1,01,1,FL,12,1,02,03,03,02,1,02,1,01,03,01,02,01,0,200903,01,09,4,C,750,20,1500,750,1500,30,3000,XXXXX,XXXX
20031879,60,307.05955297,1,52,05,03,02,01,17,-1,01,1,FL,12,1,01,01,02,04,1,02,1,01,02,02,06,01,0,200904,01,09,7,TC,750,30,3000,350,1500,20,3000,45300,8280
20031963,59,184.45951987,2,53,05,03,02,01,06,-1,01,2,FL,12,2,01,04,03,01,2,02,2,-1,02,04,06,02,1,200901,01,10,4,TC,50,20,50,25,50,30,50,XXXXX,XXXX
20032072,37,82.590728386,2,24,02,01,02,01,-7,-1,01,2,NY,36,2,01,01,04,06,2,02,1,-1,02,04,06,02,0,200812,02,10,3,TC,50,20,50,25,50,20,50,XXXXX,-1
